"","Entry","From","Reviewed","Protein names","Gene Names","Annotation","Keywords","PubMed ID","Gene Names (ORF)","KEGG","eggNOG","RefSeq","CAZy","BRENDA","OrthoDB","Pfam","InterPro","BioCyc","UniPathway","gene_locus","gene_name","SubtiCats","subti_func","UniKey"
"782","P39623","P39623","reviewed","Spore coat polysaccharide biosynthesis protein SpsC","spsC BSU37890 ipa-65d",2,"Pyridoxal phosphate;Reference proteome","7934828; 9384377","ipa-65d","bsu:BSU37890;","COG0399;","NP_391668.1;WP_003243878.1;","","","9810913at2;","PF01041;","IPR000653;IPR015424;IPR015421;IPR015422;","BSUB:BSU37890-MONOMER;","UPA00953;","BSU_37890","spsC","323, 399","sporulation","NA"
"783","P39624","P39624","reviewed","Spore coat polysaccharide biosynthesis protein SpsD (EC 2.3.1.-)","spsD BSU37880 ipa-66d",2,"Acyltransferase;Reference proteome;Transferase","7934828; 9384377","ipa-66d","bsu:BSU37880;","COG0456;","NP_391667.1;WP_003243179.1;","","","9803233at2;","PF00583;","IPR016181;IPR000182;IPR050276;","BSUB:BSU37880-MONOMER;","UPA00953;","BSU_37880","spsD","323, 399","sporulation","NA"
"784","P39625","P39625","reviewed","Spore coat polysaccharide biosynthesis protein SpsE","spsE BSU37870 ipa-67d",2,"3D-structure;Reference proteome","7934828; 9384377","ipa-67d","bsu:BSU37870;","COG2089;","NP_391666.1;WP_003243135.1;","","","9814210at2;","PF03102;PF08666;","IPR006190;IPR036732;IPR013785;IPR013132;IPR051690;IPR013974;","BSUB:BSU37870-MONOMER;","UPA00953;","BSU_37870","spsE","323, 399","sporulation","NA"
"785","P39626","P39626","reviewed","Spore coat polysaccharide biosynthesis protein SpsF","spsF BSU37860 ipa-68d",1,"Reference proteome","7934828; 9384377; 19383706","ipa-68d","bsu:BSU37860;","COG1861;","NP_391665.2;WP_003243421.1;","","","9815559at2;","PF02348;","IPR003329;IPR029044;","BSUB:BSU37860-MONOMER;","UPA00953;","BSU_37860","spsF","399","sporulation","NA"
"786","P39627","P39627","reviewed","Spore coat polysaccharide biosynthesis protein SpsG","spsG spsH BSU37850 ipa-69d/ipa-70d",2,"Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix","7934828; 9384377","ipa-69d/ipa-70d","bsu:BSU37850;","COG3980;","NP_391664.1;WP_003244190.1;","","","9805604at2;","PF04101;","IPR007235;","BSUB:BSU37850-MONOMER;","UPA00953;","BSU_37850","spsG","55, 323, 399","sporulation","NA"
"787","P39629","P39629","reviewed","Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24) (Spore coat polysaccharide biosynthesis protein SpsI) (dTDP-glucose pyrophosphorylase) (dTDP-glucose synthase)","rmlA spsI BSU37840 ipa-71d",3,"Magnesium;Metal-binding;Nucleotidyltransferase;Reference proteome;Transferase","7934828; 9384377; 22960854","ipa-71d","bsu:BSU37840;","COG1209;","NP_391663.1;WP_003243368.1;","","","9803871at2;","PF00483;","IPR005907;IPR005835;IPR029044;","BSUB:BSU37840-MONOMER;","UPA00953;","BSU_37840","spsI","322, 399","sporulation","NA"
"788","P39630","P39630","reviewed","dTDP-glucose 4,6-dehydratase (EC 4.2.1.46) (Spore coat polysaccharide biosynthesis protein SpsJ)","rfbB spsJ BSU37830 ipa-72d",3,"Lyase;NAD;Reference proteome","7934828; 9384377; 22960854","ipa-72d","bsu:BSU37830;","COG1088;","NP_391662.1;WP_003244201.1;","","","9811743at2;","PF16363;","IPR005888;IPR016040;IPR036291;","BSUB:BSU37830-MONOMER;","UPA00953;","BSU_37830","spsJ","322, 399","sporulation","NA"
"789","P39631","P39631","reviewed","Spore coat polysaccharide biosynthesis protein SpsK","spsK BSU37820 ipa-73d",2,"NADP;Oxidoreductase;Reference proteome","7934828; 9384377; 10568751; 19383706","ipa-73d","bsu:BSU37820;","COG1091;","NP_391661.3;","","","9803892at2;","PF04321;","IPR005913;IPR036291;IPR029903;","BSUB:BSU37820-MONOMER;","UPA00953;","BSU_37820","spsK","322, 399","sporulation","NA"
"790","P39632","P39632","reviewed","Probable biofilm-surface layer protein B","bslB yweA BSU37800 ipa-74d",3,"3D-structure;Reference proteome;Secreted;Signal","7934828; 9384377; 28751732","ipa-74d","bsu:BSU37800;","ENOG502ZUCW;","NP_391660.1;WP_003242493.1;","","","2928595at2;","PF17735;","IPR049715;IPR034650;IPR038480;","BSUB:BSU37800-MONOMER;","","BSU_37800","sivA","52, 381, 402","sporulation","NA"
"791","P39650","P39650","reviewed","Prespore-specific transcriptional regulator RsfA","rsfA ywfN BSU37620 ipa-92r",3,"Activator;Coiled coil;DNA-binding;Reference proteome;Repressor;Sporulation;Transcription;Transcription regulation","7934828; 9384377; 10629188","ipa-92r","bsu:BSU37620;","ENOG5030SGP;","WP_003243464.1;","","","2845592at2;","","IPR014243;IPR001005;","BSUB:BSU37620-MONOMER;","","BSU_37620","rsfA","367, 399","sporulation","sporulation"
"792","P39668","P39668","reviewed","Uncharacterized serine protease YyxA (EC 3.4.21.-)","yyxA yycK BSU40360",2,"Cell membrane;Hydrolase;Membrane;Protease;Reference proteome;Serine protease;Transmembrane;Transmembrane helix","9205843; 9384377; 8113162","","bsu:BSU40360;","COG0265;","","","","9758917at2;","PF13180;PF13365;","IPR051201;IPR001478;IPR036034;IPR009003;IPR043504;IPR001940;","BSUB:BSU40360-MONOMER;","","BSU_40360","htrC","55, 362, 399","sporulation","NA"
"793","P39696","P39696","reviewed","ComE operon protein 4","comER comE4 comED BSU25600",2,"Reference proteome","7968523; 8969508; 9384377; 11418582","","bsu:BSU25600;","COG0345;","NP_390438.1;WP_004398597.1;","","","9805754at2;","PF03807;PF14748;","IPR008927;IPR036291;IPR028939;IPR053790;IPR029036;IPR000304;","BSUB:BSU25600-MONOMER;","","BSU_25600","comER","99, 130, 400","sporulation","NA"
"794","P39751","P39751","reviewed","Cell shape-determining protein Mbl (Actin-like Mbl protein) (Rod shape-determining protein Mbl)","mbl BSU36410",4,"ATP-binding;Cell shape;Cytoplasm;Nucleotide-binding;Reference proteome","7836311; 9384377; 10568751; 9353933; 11290328; 14588250; 16950129; 17064365; 19659933; 21636745; 21636744","","bsu:BSU36410;","COG1077;","NP_391522.2;WP_003227776.1;","","","9768127at2;","PF06723;","IPR043129;IPR004753;IPR056546;","BSUB:BSU36410-MONOMER;","","BSU_36410","mbl","4, 49, 55, 399","sporulation","NA"
"795","P39764","P39764","reviewed","Sporulation kinase C (EC 2.7.13.3)","kinC mskA ssb BSU14490",4,"ATP-binding;Cell membrane;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Sporulation;Transferase;Transmembrane;Transmembrane helix;Two-component regulatory system","8002615; 8002614; 8969500; 9384377; 20713508; 22882210; 26297017; 27362352","","bsu:BSU14490;","COG3852;","NP_389332.1;WP_003232333.1;","","2.7.13.3;","9815750at2;","PF02518;PF00512;PF00989;","IPR036890;IPR005467;IPR003661;IPR036097;IPR001610;IPR000014;IPR000700;IPR035965;IPR013767;IPR004358;","BSUB:BSU14490-MONOMER;","","BSU_14490","kinC","55, 129, 356, 380, 393, 401, 432, 456","sporulation","sporulation"
"796","P39773","P39773","reviewed","2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12) (Vegetative protein 107) (VEG107)","gpmI pgm BSU33910",5,"Direct protein sequencing;Glycolysis;Isomerase;Manganese;Metal-binding;Phosphoprotein;Reference proteome;Sporulation","8021172; 9384377; 9298659; 9830105; 17218307","","bsu:BSU33910;","COG0696;","NP_391271.1;WP_003228330.1;","","","9800863at2;","PF06415;PF01676;","IPR017850;IPR011258;IPR006124;IPR036646;IPR005995;","BSUB:BSU33910-MONOMER;","UPA00109;",NA,NA,NA,NA,"sporulation"
"797","P39791","P39791","reviewed","Uncharacterized protein YppC (ORFX)","yppC BSU22300",1,"Reference proteome","8760912; 9384377; 7814321","","bsu:BSU22300;","ENOG502ZB0U;","NP_390111.1;WP_004398707.1;","","","2690514at2;","PF10720;","IPR019658;","BSUB:BSU22300-MONOMER;","","BSU_22300","yppC","400","sporulation","NA"
"798","P39800","P39800","reviewed","N-acetylmuramoyl-L-alanine amidase XlyA (EC 3.5.1.28) (Autolysin) (Cell wall hydrolase)","xlyA BSU12810",3,"3D-structure;Cell wall biogenesis/degradation;Competence;Hydrolase;Reference proteome;Secreted;Signal;Sporulation","7921239; 9555893; 9384377","","bsu:BSU12810;","COG3409;COG5632;","NP_389164.1;WP_003245230.1;","","","9794294at2;","PF01510;PF01476;PF01471;","IPR036505;IPR002502;IPR018392;IPR036779;IPR051206;IPR002477;IPR036365;IPR036366;","BSUB:BSU12810-MONOMER;","",NA,NA,NA,NA,"sporulation"
"799","P39801","P39801","reviewed","Spore coat protein G","cotG BSU36070",2,"Direct protein sequencing;Reference proteome;Repeat;Sporulation","7814326; 9353933; 9384377","","bsu:BSU36070;","","NP_391488.1;WP_010886627.1;","","","2944080at2;","","","BSUB:BSU36070-MONOMER;","","BSU_36070","cotG","444, 457, 458","sporulation","sporulation"
"800","P40288","P40288","reviewed","Glucose 1-dehydrogenase (EC 1.1.1.47)","",5,"3D-structure;Direct protein sequencing;NADP;Oxidoreductase;Sporulation","2495285; 11173533","","","","WP_033578120.1;","","1.1.1.47;","","PF13561;","IPR036291;IPR020904;IPR002347;","","",NA,NA,NA,NA,"sporulation"
"801","P40397","P40397","reviewed","Uncharacterized oxidoreductase YhxC (EC 1.-.-.-) (ORFX)","yhxC BSU10400",2,"Oxidoreductase;Reference proteome","9579061; 9384377; 8196543","","bsu:BSU10400;","COG1028;","NP_388921.1;WP_003245662.1;","","","9803333at2;","PF13561;","IPR036291;IPR020904;IPR002347;","BSUB:BSU10400-MONOMER;","","BSU_10400","yhxC","99, 130, 399, 449","sporulation","NA"
"802","P40407","P40407","reviewed","Peptidoglycan beta-N-acetylmuramidase NamZ (EC 3.2.1.92) (Exo-beta-N-acetylmuramidase NamZ) (ORF2)","namZ ybbC yzbB BSU01650",4,"Cell wall biogenesis/degradation;Hydrolase;Reference proteome;Secreted;Signal","8011666; 9274029; 9384377; 33684445","","bsu:BSU01650;","COG3876;","NP_388046.1;WP_003234976.1;","","","9801061at2;","PF20732;PF07075;","IPR008302;IPR048503;IPR048502;","BSUB:BSU01650-MONOMER;","","BSU_01650","namZ","23, 400","sporulation","NA"
"803","P40419","P40419","reviewed","Probable glucose uptake protein GlcU","glcU",2,"Cell membrane;Membrane;Sporulation;Sugar transport;Transmembrane;Transmembrane helix;Transport","","","","","WP_013081864.1;","","","","PF06800;","IPR010651;","","",NA,NA,NA,NA,"sporulation"
"804","P40420","P40420","reviewed","Glucose uptake protein GlcU","glcU ycxE BSU03920",2,"Cell membrane;Membrane;Reference proteome;Sporulation;Sugar transport;Transmembrane;Transmembrane helix;Transport","8969502; 9384377; 3141376; 3082854; 10438764","","bsu:BSU03920;","COG4975;","NP_388274.1;WP_003234455.1;","","","1452595at2;","PF06800;","IPR010651;","BSUB:BSU03920-MONOMER;","","BSU_03920","glcU","55, 189, 399","sporulation","sporulation"
"805","P40746","P40746","reviewed","Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)","tgl yugV yuxF BSU31270",3,"3D-structure;Acyltransferase;Reference proteome;Sporulation;Transferase","9274030; 9384377; 8188684; 9692191; 12501297; 16751597","","bsu:BSU31270;","ENOG502Z8C5;","NP_391005.1;WP_003243977.1;","","2.3.2.13;","1845399at2;","PF20085;","IPR020916;","BSUB:BSU31270-MONOMER;","","BSU_31270","tgl","444","sporulation","sporulation"
"806","P40769","P40769","reviewed","Uncharacterized metalloprotease YhfN (EC 3.4.24.-) (PSP23)","yhfN yzoA BSU10290",2,"Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Zinc","9579061; 9384377; 3145906","","bsu:BSU10290;","COG0501;","NP_388910.1;WP_003233175.1;","","","9781930at2;","PF01435;PF16491;","IPR027057;IPR001915;IPR032456;","BSUB:BSU10290-MONOMER;","","BSU_10290","yhfN","400","sporulation","NA"
"807","P40866","P40866","reviewed","Stage V sporulation protein AA","spoVAA BSU23440",2,"Cell membrane;Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix","3926949; 8969508; 9384377; 19383706","","bsu:BSU23440;","ENOG502ZCB6;","NP_390225.2;WP_003246053.1;","","","9782754at2;","PF12164;","IPR021997;IPR038548;","BSUB:BSU23440-MONOMER;","","BSU_23440","spoVAA","55, 399","sporulation","sporulation"
"808","P40867","P40867","reviewed","Stage V sporulation protein AB","spoVAB BSU23430",1,"Cell membrane;Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix","3926949; 8969508; 9384377","","bsu:BSU23430;","ENOG503152T;","NP_390224.1;WP_003230463.1;","","","9790504at2;","PF13782;","IPR020144;","BSUB:BSU23430-MONOMER;","","BSU_23430","spoVAB","55, 399","sporulation","sporulation"
"809","P40868","P40868","reviewed","Stage V sporulation protein AC","spoVAC BSU23420",1,"Cell membrane;Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix","3926949; 8969508; 9384377","","bsu:BSU23420;","ENOG5031DDD;","NP_390223.1;WP_003223947.1;","","","9797988at2;","PF03862;","IPR014203;IPR005562;","BSUB:BSU23420-MONOMER;","","BSU_23420","spoVAC","55, 399","sporulation","sporulation"
"810","P40869","P40869","reviewed","Stage V sporulation protein AD","spoVAD BSU23410",2,"3D-structure;Reference proteome;Sporulation","3926949; 8969508; 9384377","","bsu:BSU23410;","COG0332;","NP_390222.1;WP_003230465.1;","","","9770068at2;","PF07451;","IPR010894;IPR038369;IPR016039;","BSUB:BSU23410-MONOMER;","","BSU_23410","spoVAD","55, 408","germination","sporulation"
"811","P40870","P40870","reviewed","Stage V sporulation protein AE","spoVAEA spoVAE BSU23401 BSU23400",1,"Reference proteome;Sporulation","3926949; 8969508; 9384377; 19383706","BSU23400","bsu:BSU23401;","ENOG502ZRG2;","WP_003230469.1;YP_003097758.1;","","","1679631at2;","PF14097;","IPR025914;","BSUB:BSU23401-MONOMER;","","BSU_23401","spoVAEA","408","germination","sporulation"
"812","P41028","P41028","reviewed","Putative stage IV sporulation protein","spoIV BMD_4540",2,"Membrane;Sporulation;Transmembrane;Transmembrane helix","21705586; 7764969","","bmd:BMD_4540;","","WP_013085053.1;","","","","PF06898;","IPR010690;","","",NA,NA,NA,NA,"sporulation"
"813","P41371","P41371","reviewed","Small, acid-soluble spore protein 1 (SSP-1)","ssp1 CPE2161",3,"DNA-binding;Reference proteome;Sporulation","2037223; 11792842","","cpe:CPE2161;","","WP_003452440.1;","","","","PF00269;","IPR001448;IPR018126;IPR050847;IPR038300;","","",NA,NA,NA,NA,"sporulation"
"814","P42012","P42012","reviewed","Stage 0 sporulation protein A","spo0A",3,"Activator;Calcium;Cytoplasm;DNA-binding;Metal-binding;Phosphoprotein;Repressor;Sporulation;Transcription;Transcription regulation;Two-component regulatory system","7885226","","","","","","","","PF00072;PF08769;","IPR050595;IPR011006;IPR016032;IPR001789;IPR014879;IPR012052;IPR036388;","","",NA,NA,NA,NA,"sporulation"
"815","P42061","P42061","reviewed","Oligopeptide-binding protein AppA","appA BSU11381/BSU11382 BSU11380",3,"3D-structure;Cell membrane;Competence;Lipoprotein;Membrane;Palmitate;Peptide transport;Protein transport;Reference proteome;Signal;Sporulation;Transport","7997159; 9384377","BSU11380","","","","","","","PF00496;","IPR030678;IPR039424;IPR023765;IPR000914;","","",NA,NA,NA,NA,"sporulation"
"816","P42062","P42062","reviewed","Oligopeptide transport system permease protein AppB","appB BSU11390",2,"Cell membrane;Competence;Membrane;Peptide transport;Protein transport;Reference proteome;Sporulation;Transmembrane;Transmembrane helix;Transport","7997159; 9384377; 19383706","","bsu:BSU11390;","COG0601;","NP_389021.2;WP_003245828.1;","","","9773683at2;","PF00528;PF19300;","IPR045621;IPR000515;IPR035906;","BSUB:BSU11390-MONOMER;","",NA,NA,NA,NA,"sporulation"
"817","P42063","P42063","reviewed","Oligopeptide transport system permease protein AppC","appC BSU11400",2,"Cell membrane;Competence;Membrane;Peptide transport;Protein transport;Reference proteome;Sporulation;Transmembrane;Transmembrane helix;Transport","7997159; 9384377","","bsu:BSU11400;","COG1173;","NP_389022.1;WP_003232961.1;","","","9797472at2;","PF00528;PF12911;","IPR050366;IPR000515;IPR035906;IPR053523;IPR025966;","BSUB:BSU11400-MONOMER;","",NA,NA,NA,NA,"sporulation"
"818","P42064","P42064","reviewed","Oligopeptide transport ATP-binding protein AppD","appD BSU11360",3,"ATP-binding;Cell membrane;Competence;Membrane;Nucleotide-binding;Peptide transport;Protein transport;Reference proteome;Sporulation;Transport","7997159; 9384377","","bsu:BSU11360;","COG0444;","NP_389018.1;WP_003232965.1;","","","9802264at2;","PF00005;PF08352;","IPR003593;IPR050388;IPR003439;IPR017871;IPR013563;IPR027417;","BSUB:BSU11360-MONOMER;","",NA,NA,NA,NA,"sporulation"
"819","P42065","P42065","reviewed","Oligopeptide transport ATP-binding protein AppF","appF BSU11370",3,"ATP-binding;Cell membrane;Competence;Membrane;Nucleotide-binding;Peptide transport;Protein transport;Reference proteome;Sporulation;Transport","7997159; 9384377; 19383706","","bsu:BSU11370;","COG4608;","NP_389019.2;WP_003232964.1;","","","9802264at2;","PF00005;PF08352;","IPR003593;IPR050319;IPR003439;IPR017871;IPR013563;IPR027417;","BSUB:BSU11370-MONOMER;","",NA,NA,NA,NA,"sporulation"
"820","P42089","P42089","reviewed","Spore crust protein CgeA","cgeA cgeAA BSU19780",4,"Glycoprotein;Reference proteome;Sporulation","7592393; 9734814; 9384377; 14702409; 15621419; 19933362; 21665972; 30582883; 31502725; 37485949","","bsu:BSU19780;","ENOG5030CMI;","NP_389859.1;WP_003230824.1;","","","2884748at2;","","","BSUB:BSU19780-MONOMER;","","BSU_19780","cgeA","446","sporulation","sporulation"
"821","P42090","P42090","reviewed","Spore protein CgeB","cgeB cgeAB BSU19790",2,"Reference proteome","7592393; 9734814; 9384377; 19383706; 30582883; 31502725","","bsu:BSU19790;","COG4641;","NP_389860.2;WP_004399421.1;","","","110463at2;","PF12996;PF13524;","IPR024542;IPR055259;","BSUB:BSU19790-MONOMER;","","BSU_19790","cgeB","446","sporulation","NA"
"822","P42091","P42091","reviewed","Protein CgeC","cgeC cgeBA BSU19770",2,"Reference proteome","7592393; 9734814; 9384377","","bsu:BSU19770;","ENOG5030CVA;","NP_389858.1;WP_003230826.1;","","","2922309at2;","","IPR048203;","BSUB:BSU19770-MONOMER;","","BSU_19770","cgeC","446","sporulation","NA"
"823","P42092","P42092","reviewed","Protein CgeD","cgeD cgeBB BSU19760",2,"Reference proteome","7592393; 9734814; 9384377","","bsu:BSU19760;","COG0463;","NP_389857.1;WP_003230828.1;","GT2;","","2850014at2;","PF00535;","IPR001173;IPR050834;IPR029044;","BSUB:BSU19760-MONOMER;","","BSU_19760","cgeD","446","sporulation","NA"
"824","P42093","P42093","reviewed","Uncharacterized N-acetyltransferase CgeE (EC 2.3.1.-)","cgeE cgeBC BSU19750",2,"Acyltransferase;Reference proteome;Transferase","9734814; 9384377; 7592393","","bsu:BSU19750;","COG0456;","NP_389856.1;WP_003230830.1;","","","2463977at2;","PF00583;","IPR016181;IPR000182;IPR039143;","BSUB:BSU19750-MONOMER;","","BSU_19750","cgeE","446","sporulation","NA"
"825","P42234","P42234","reviewed","Catalase-2 (EC 1.11.1.6)","katE katB BSU39050 N15D",4,"Heme;Hydrogen peroxide;Iron;Metal-binding;Oxidoreductase;Peroxidase;Reference proteome;Sporulation","8969509; 9384377; 19383706; 7559348","N15D","bsu:BSU39050;","COG0693;COG0753;","NP_391784.2;WP_003243331.1;","","","9760293at2;","PF00199;PF06628;PF18011;","IPR018028;IPR024708;IPR024712;IPR043156;IPR011614;IPR002226;IPR010582;IPR041399;IPR020835;IPR029062;","BSUB:BSU39050-MONOMER;","",NA,NA,NA,NA,"sporulation"
"826","P42249","P42249","reviewed","Cell wall hydrolase CwlJ","cwlJ ycbQ BSU02600",3,"Cell wall biogenesis/degradation;Germination;Hydrolase;Reference proteome;Secreted;Sporulation","7704254; 9384377; 19383706; 9515903; 11466292; 11807087; 12177332","","bsu:BSU02600;","COG3773;","NP_388142.2;WP_003246500.1;","","","1642705at2;","PF07486;","IPR011105;IPR042047;","BSUB:BSU02600-MONOMER;","","BSU_02600","cwlJ","7, 408, 442","sporulation_germination","sporulation_germination"
"827","P42308","P42308","reviewed","Citrate transporter","citN citH yxiQ BSU39060 N15CR",3,"Cell membrane;Citrate utilization;Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport","8969509; 9384377; 19383706; 7704256; 8892821","N15CR","bsu:BSU39060;","COG2851;","NP_391785.2;WP_003227205.1;","","","5329450at2;","PF03600;","IPR004680;IPR014738;","BSUB:BSU39060-MONOMER;","","BSU_39060","citH","55, 190, 218, 400","sporulation","NA"
"828","P42314","P42314","reviewed","Uncharacterized transporter YxjC","yxjC BSU39000 N15J",2,"Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport","8969509; 9384377; 10568751; 19383706","N15J","bsu:BSU39000;","COG2610;","NP_391779.3;WP_003243205.1;","","","86125at2;","","IPR003474;","BSUB:BSU39000-MONOMER;","","BSU_39000","hbuT","55, 190, 399","sporulation","NA"
"829","P42315","P42315","reviewed","Probable succinyl-CoA:3-ketoacid coenzyme A transferase subunit A (EC 2.8.3.5) (Succinyl-CoA:3-oxoacid CoA-transferase) (OXCT A)","scoA yxjD BSU38990 N15K",2,"3D-structure;Reference proteome;Transferase","8969509; 9384377","N15K","bsu:BSU38990;","COG1788;","NP_391778.1;WP_003244373.1;","","","9777193at2;","PF01144;","IPR012792;IPR004165;IPR004163;IPR037171;","BSUB:BSU38990-MONOMER;","","BSU_38990","scoA","278, 399","sporulation","NA"
"830","P42316","P42316","reviewed","Probable succinyl-CoA:3-ketoacid coenzyme A transferase subunit B (EC 2.8.3.5) (OXCT B) (Succinyl-CoA:3-oxoacid CoA-transferase)","scoB yxjE BSU38980 N15L",2,"3D-structure;Reference proteome;Transferase","8969509; 9384377","N15L","bsu:BSU38980;","COG2057;","NP_391777.1;WP_003243049.1;","","","9778604at2;","PF01144;","IPR012791;IPR004165;IPR004164;IPR037171;","BSUB:BSU38980-MONOMER;","","BSU_38980","scoB","278, 399","sporulation","NA"
"831","P42317","P42317","reviewed","Uncharacterized oxidoreductase YxjF (EC 1.-.-.-)","yxjF BSU38970 N15M",2,"NAD;Oxidoreductase;Reference proteome","8969509; 9384377; 19383706","N15M","bsu:BSU38970;","COG1028;","NP_391776.2;WP_003244042.1;","","","9803333at2;","PF00106;","IPR011294;IPR036291;IPR020904;IPR050259;IPR002347;","BSUB:BSU38970-MONOMER;","","BSU_38970","yxjF","399, 449","sporulation","NA"
"832","P42401","P42401","reviewed","Uncharacterized protein YckC (ORF3)","yckC BSU03390",1,"Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix","8969502; 9384377; 7704255","","bsu:BSU03390;","COG1714;","NP_388221.1;WP_003246356.1;","","","1787043at2;","PF06271;","IPR051791;IPR010432;","BSUB:BSU03390-MONOMER;","","BSU_03390","yckC","55, 399","sporulation","NA"
"833","P42402","P42402","reviewed","Uncharacterized protein YckD (ORF4)","yckD BSU03400",1,"Reference proteome;Signal","7704255; 8969502; 9384377","","bsu:BSU03400;","ENOG502ZBXS;","NP_388222.1;WP_003246247.1;","","","2883543at2;","PF10925;","IPR024485;","BSUB:BSU03400-MONOMER;","","BSU_03400","yckD","399","sporulation","NA"
"834","P42407","P42407","reviewed","Putative UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (Alpha-D-glucosyl-1-phosphate uridylyltransferase) (UDP-glucose pyrophosphorylase) (UDPGP) (Uridine diphosphoglucose pyrophosphorylase)","ytdA yzwA BSU30850",2,"Nucleotidyltransferase;Reference proteome;Transferase","9387221; 9384377","","bsu:BSU30850;","COG1210;","NP_390963.1;WP_003229044.1;","","","9803871at2;","PF00483;","IPR005771;IPR005835;IPR029044;","BSUB:BSU30850-MONOMER;","","BSU_30850","ytdA","400, 449","sporulation","NA"
"835","P42408","P42408","reviewed","Uncharacterized protein YteA (ORFQ)","yteA yzwB BSU30840",2,"Metal-binding;Reference proteome;Zinc;Zinc-finger","9387221; 9384377; 10568751","","bsu:BSU30840;","COG1734;","NP_390962.2;WP_003229046.1;","","","9811543at2;","PF01258;","IPR037187;IPR014240;IPR000962;","BSUB:BSU30840-MONOMER;","","BSU_30840","yteA","399","sporulation","NA"
"836","P42425","P42425","reviewed","Lon protease 2 (EC 3.4.21.53) (ATP-dependent protease La 2)","lon2 lonB ysxF BSU28210",4,"3D-structure;ATP-binding;Cytoplasm;Hydrolase;Nucleotide-binding;Protease;Reference proteome;Serine protease;Stress response","8969504; 9384377; 7961402; 11325926","","bsu:BSU28210;","COG0470;COG1067;","NP_390699.1;WP_004398923.1;","","","2318150at2;","PF05362;PF01078;","IPR003593;IPR008269;IPR027065;IPR000523;IPR027417;IPR008268;IPR020568;IPR014721;IPR014251;","BSUB:BSU28210-MONOMER;","","BSU_28210","lonB","55, 365, 399","sporulation","NA"
"837","P42968","P42968","reviewed","HTH-type transcriptional regulator KipR (Kip operon repressor protein)","kipR ycsO BSU04100",3,"DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation","8574415; 8969502; 9384377; 19383706; 9334321","","bsu:BSU04100;","COG1414;","WP_003246517.1;WP_009966578.1;","","","9791752at2;","PF09339;PF01614;","IPR029016;IPR050707;IPR014757;IPR005471;IPR036388;IPR036390;","BSUB:BSU04100-MONOMER;","","BSU_04100","kipR","120, 134, 372","sporulation","NA"
"838","P42969","P42969","reviewed","Spore germination lipase LipC (EC 3.-.-.-)","lipC ycsK BSU04110",3,"Hydrolase;Reference proteome;Sporulation","8574415; 8969502; 9384377; 17220230","","bsu:BSU04110;","COG2755;","NP_388292.1;WP_003234415.1;","","","26855at2;","PF00657;","IPR051532;IPR001087;IPR036514;","BSUB:BSU04110-MONOMER;","","BSU_04110","lipC","276, 408, 444","sporulation_germination","sporulation"
"839","P42983","P42983","reviewed","Sporulation-specific extracellular nuclease (EC 3.-.-.-)","nucB BSU25750",3,"Hydrolase;Manganese;Nuclease;Reference proteome;Secreted;Signal;Sporulation","7746143; 8969508; 9384377; 2105293","","bsu:BSU25750;","COG3209;","NP_390452.1;WP_009967785.1;","","","1906360at2;","PF14040;","","BSUB:BSU25750-MONOMER;","",NA,NA,NA,NA,"sporulation"
"840","P45453","P45453","reviewed","ComX pheromone (Competence pheromone)","comX BSU31700",5,"Competence;Direct protein sequencing;Lipoprotein;Pheromone;Prenylation;Reference proteome;Secreted;Sporulation","2116363; 9384377; 8168130; 11133937; 11751817; 12067344; 14679219; 16091051; 18323630","","bsu:BSU31700;","","NP_391048.1;WP_003242801.1;","","","2890156at2;","","","BSUB:BSU31700-MONOMER;","",NA,NA,NA,NA,"sporulation"
"841","P45693","P45693","reviewed","Stage V sporulation protein S","spoVS BSU16980",2,"Cell cycle;Cell division;Reference proteome;Septation;Sporulation","7559352; 9384377","","bsu:BSU16980;","COG2359;","NP_389580.1;WP_003154135.1;","","","9796055at2;","PF04232;","IPR036882;IPR007347;","BSUB:BSU16980-MONOMER;","","BSU_16980","spoVS","135","sporulation","sporulation"
